date,customer_id,installment_amount
2024-12-31,1,182.15
2024-12-31,3,231.97
2024-12-31,4,287.21
2024-12-31,5,303.54
2024-12-31,8,309.91
2024-12-31,10,439.34
2024-12-31,11,158.34
2024-12-31,12,321.78
2024-12-31,14,335.41
2024-12-31,16,297.54
2024-12-31,18,287.09
2024-12-31,20,563.77
2024-12-31,21,246.58
2024-12-31,22,454.23
2024-12-31,23,195.55
2024-12-31,27,395.5
2024-12-31,29,403.6
2024-12-31,31,272.48
2024-12-31,37,249.79
2024-12-31,38,520.02
2024-12-31,39,494.3
2024-12-31,42,568.65
2024-12-31,43,303.11
2024-12-31,44,249.45
2024-12-31,45,185.64
2024-12-31,48,513.5
2024-12-31,53,128.58
2024-12-31,57,179.1
2024-12-31,60,184.72
2024-12-31,61,343.91
2024-12-31,62,364.59
2024-12-31,64,260.82
2024-12-31,65,410.49
2024-12-31,67,220.82
2024-12-31,69,296.79
2024-12-31,75,124.99
2024-12-31,76,325.69
2024-12-31,81,279.02
2024-12-31,83,205.46
2024-12-31,85,391.26
2024-12-31,87,212.42
2024-12-31,88,371.64
2024-12-31,90,496.15
2024-12-31,92,353.01
2024-12-31,93,279.04
2024-12-31,94,286.09
2024-12-31,96,488.33
2024-12-31,99,271.24
2024-12-31,100,264.35
2024-12-31,103,234.26
2024-12-31,104,324.09
2024-12-31,105,393.32
2024-12-31,106,85.24
2024-12-31,107,396.02
2024-12-31,109,354.29
2024-12-31,113,509.55
2024-12-31,115,160.83
2024-12-31,118,594.74
2024-12-31,119,276.58
2024-12-31,120,360.21
2024-12-31,121,240.41
2024-12-31,122,268.7
2024-12-31,124,491.98
2024-12-31,129,265.03
2024-12-31,131,593.91
2024-12-31,133,513.33
2024-12-31,134,233.33
2024-12-31,135,145.57
2024-12-31,141,495.61
2024-12-31,142,441.14
2024-12-31,145,307.72
2024-12-31,147,157.17
2024-12-31,149,364.58
2024-12-31,151,306.8
2024-12-31,154,233.6
2024-12-31,155,340.1
2024-12-31,158,193.88
2024-12-31,159,428.79
2024-12-31,160,705.93
2024-12-31,161,162.56
2024-12-31,163,458.93
2024-12-31,165,243.44
2024-12-31,167,169.08
2024-12-31,168,162.52
2024-12-31,169,385.7
2024-12-31,170,143.1
2024-12-31,171,463.55
2024-12-31,172,185.99
2024-12-31,174,157.05
2024-12-31,175,287.7
2024-12-31,178,211.2
2024-12-31,179,973.78
2024-12-31,180,417.66
2024-12-31,182,95.82
2024-12-31,183,810.35
2024-12-31,184,268.44
2024-12-31,186,268.46
2024-12-31,189,388.83
2024-12-31,190,388.58
2024-12-31,192,540.32
2024-12-31,194,407.96
2024-12-31,200,230.87
2024-12-31,201,284.69
2024-12-31,205,183.83
2024-12-31,206,204.9
2024-12-31,207,375.74
2024-12-31,208,783.29
2024-12-31,212,485.19
2024-12-31,216,407.2
2024-12-31,217,343.4
2024-12-31,218,413.73
2024-12-31,220,200.13
2024-12-31,225,191.34
2024-12-31,227,267.65
2024-12-31,229,396.1
2024-12-31,230,999.97
2024-12-31,231,244.06
2024-12-31,232,186.11
2024-12-31,233,386.23
2024-12-31,234,645.99
2024-12-31,237,213.05
2024-12-31,238,405.58
2024-12-31,239,323.37
2024-12-31,240,265.64
2024-12-31,242,636.22
2024-12-31,244,485.53
2024-12-31,245,186.82
2024-12-31,246,214.08
2024-12-31,251,702.45
2024-12-31,252,807.95
2024-12-31,253,1105.32
2024-12-31,255,498.75
2024-12-31,263,159.54
2024-12-31,264,261.26
2024-12-31,266,288.76
2024-12-31,268,239.32
2024-12-31,269,295.23
2024-12-31,270,502.29
2024-12-31,273,362.25
2024-12-31,274,245.01
2024-12-31,275,406.41
2024-12-31,281,284.32
2024-12-31,283,87.13
2024-12-31,284,104.57
2024-12-31,285,138.3
2024-12-31,288,197.65
2024-12-31,289,262.58
2024-12-31,290,169.05
2024-12-31,291,455.67
2024-12-31,297,197.19
2024-12-31,300,343.52
2024-12-31,301,276.04
2024-12-31,302,456.12
2024-12-31,304,384.5
2024-12-31,305,256.36
2024-12-31,306,432.74
2024-12-31,307,385.03
2024-12-31,312,390.13
2024-12-31,314,267.1
2024-12-31,315,307.94
2024-12-31,317,499.44
2024-12-31,320,262.39
2024-12-31,321,344.21
2024-12-31,322,295.1
2024-12-31,326,237.59
2024-12-31,328,377.41
2024-12-31,330,178.08
2024-12-31,332,549.46
2024-12-31,334,330.4
2024-12-31,336,599.11
2024-12-31,338,242.74
2024-12-31,339,313.79
2024-12-31,342,321.65
2024-12-31,343,298.42
2024-12-31,344,296.03
2024-12-31,345,347.84
2024-12-31,349,340.56
2024-12-31,350,337.84
2024-12-31,354,457.32
2024-12-31,355,225.57
2024-12-31,356,255.2
2024-12-31,357,310.08
2024-12-31,359,332.69
2024-12-31,361,360.99
2024-12-31,362,317.87
2024-12-31,364,302.21
2024-12-31,365,255.25
2024-12-31,366,431.32
2024-12-31,368,343.96
2024-12-31,370,235.33
2024-12-31,372,578.69
2024-12-31,373,384.96
2024-12-31,374,134.12
2024-12-31,375,254.65
2024-12-31,376,337.51
2024-12-31,379,375.29
2024-12-31,380,445.81
2024-12-31,381,172.1
2024-12-31,383,262.84
2024-12-31,386,427.15
2024-12-31,388,638.55
2024-12-31,389,430.65
2024-12-31,390,293.01
2024-12-31,392,285.24
2024-12-31,394,623.48
2024-12-31,395,464.63
2024-12-31,397,227.6
2024-12-31,398,302.86
2024-12-31,402,221.41
2024-12-31,407,169.33
2024-12-31,408,328.14
2024-12-31,409,156.64
2024-12-31,410,443.49
2024-12-31,411,153.63
2024-12-31,413,489.98
2024-12-31,416,215.89
2024-12-31,417,211.6
2024-12-31,420,130.95
2024-12-31,421,598.74
2024-12-31,422,324.92
2024-12-31,423,386.14
2024-12-31,425,363.16
2024-12-31,426,435.69
2024-12-31,431,275.11
2024-12-31,432,443.46
2024-12-31,433,393.39
2024-12-31,434,263.12
2024-12-31,435,205.27
2024-12-31,436,340.96
2024-12-31,437,176.67
2024-12-31,439,679.84
2024-12-31,440,772.86
2024-12-31,443,476.14
2024-12-31,445,458.42
2024-12-31,446,468.57
2024-12-31,448,459.57
2024-12-31,450,267.4
2024-12-31,451,127.61
2024-12-31,452,277.81
2024-12-31,455,431.87
2024-12-31,458,443.29
2024-12-31,459,391.74
2024-12-31,461,313
