date,customer_id,income_date,income_type,income_amount
2024-12-31,1,2024-05-25,1,1008.71
2024-12-31,1,2024-06-25,1,1006.29
2024-12-31,1,2024-07-25,1,1025.3
2024-12-31,1,2024-08-25,1,993.9
2024-12-31,1,2024-09-25,1,1017.15
2024-12-31,1,2024-10-25,1,995.47
2024-12-31,1,2024-11-25,1,994.24
2024-12-31,1,2024-12-25,1,1009.66
2024-12-31,4,2024-01-10,2,940.69
2024-12-31,4,2024-02-10,2,947.7
2024-12-31,4,2024-03-10,2,936.94
2024-12-31,4,2024-04-10,2,926.53
2024-12-31,4,2024-05-10,2,940.85
2024-12-31,4,2024-06-10,2,930.91
2024-12-31,4,2024-07-10,2,929.38
2024-12-31,4,2024-08-10,2,944.12
2024-12-31,4,2024-09-10,2,944.55
2024-12-31,4,2024-10-10,2,929.25
2024-12-31,4,2024-11-10,2,925.78
2024-12-31,4,2024-12-10,2,944.09
2024-12-31,7,2024-01-15,1,918.72
2024-12-31,7,2024-02-15,1,906.03
2024-12-31,7,2024-03-15,1,881.85
2024-12-31,7,2024-04-15,1,887.22
2024-12-31,7,2024-05-15,1,900.09
2024-12-31,9,2024-01-25,1,850.57
2024-12-31,9,2024-02-25,1,876.25
2024-12-31,9,2024-03-25,1,874.93
2024-12-31,9,2024-04-25,1,858.97
2024-12-31,9,2024-05-25,1,859.26
2024-12-31,10,2024-01-20,2,1203.26
2024-12-31,10,2024-02-20,2,1166.6
2024-12-31,10,2024-03-20,2,1187.8
2024-12-31,10,2024-04-20,2,1175.97
2024-12-31,10,2024-05-20,2,1184.1
2024-12-31,10,2024-06-20,2,1179.76
2024-12-31,10,2024-07-20,2,1177.75
2024-12-31,10,2024-08-20,2,1171.6
2024-12-31,10,2024-09-20,2,1173.95
2024-12-31,10,2024-10-20,2,1174.12
2024-12-31,10,2024-11-20,2,1180.48
2024-12-31,10,2024-12-20,2,1197.81
2024-12-31,12,2024-01-25,1,1804.07
2024-12-31,12,2024-02-25,1,1805.89
2024-12-31,12,2024-03-25,1,1793.1
2024-12-31,12,2024-04-25,1,1818.91
2024-12-31,12,2024-05-25,1,1787.09
2024-12-31,12,2024-06-25,1,1812.44
2024-12-31,12,2024-07-25,1,1785.66
2024-12-31,12,2024-08-25,1,1783.74
2024-12-31,12,2024-09-25,1,1785.02
2024-12-31,12,2024-10-25,1,1807.35
2024-12-31,12,2024-11-25,1,1797.58
2024-12-31,12,2024-12-25,1,1809.02
2024-12-31,14,2024-01-10,1,914.12
2024-12-31,14,2024-02-10,1,936.23
2024-12-31,14,2024-03-10,1,917.06
2024-12-31,14,2024-04-10,1,938.88
2024-12-31,14,2024-05-10,1,934.76
2024-12-31,14,2024-06-10,1,927.92
2024-12-31,14,2024-07-10,1,932.24
2024-12-31,14,2024-08-10,1,907.65
2024-12-31,14,2024-09-10,1,926.05
2024-12-31,14,2024-10-10,1,916.83
2024-12-31,14,2024-11-10,1,929.41
2024-12-31,14,2024-12-10,1,910.64
2024-12-31,15,2024-01-10,2,1005.58
2024-12-31,15,2024-02-10,2,1005.58
2024-12-31,15,2024-03-10,2,1009.33
2024-12-31,15,2024-04-10,2,1013.51
2024-12-31,15,2024-05-10,2,1008.15
2024-12-31,15,2024-06-10,2,1016.46
2024-12-31,15,2024-07-10,2,1024.71
2024-12-31,15,2024-08-10,2,1012.31
2024-12-31,15,2024-09-10,2,1001.44
2024-12-31,15,2024-10-10,2,1030.87
2024-12-31,15,2024-11-10,2,1032.04
2024-12-31,15,2024-12-10,2,1027.64
2024-12-31,16,2024-01-25,1,968.19
2024-12-31,16,2024-02-25,1,959.21
2024-12-31,16,2024-03-25,1,946.83
